dirty_data,product,alt_lang,question_text,question_code,clean_data,golden_data,expected_output
(yu(-,NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
",kjhgf",NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
",lmknjb,huil;o",Kids Japan,ja,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
. ogni palet 500 dollar door to door,Kids Italy,it,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
.kn,Kids Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
.骑自行车,Kids China,zh-Hans,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
/ Fútbol,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,Football
;kugktnfyujhgf,NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
";nj,jk",NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
26251,Kids China,zh-Hans,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
49ers and the brancos,NextGen US,,What is your favourite sports team?,HOBB011,Around the NFL,Y,San Francisco 49ers
49ers cavs,NextGen US,,What is your favourite sports team?,HOBB011,Training,Y,San Francisco 49ers
A cheerleading team,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,Cheerleading
A. J. Auxerre,Kids India,,What is your favourite sports team?,HOBB011,A. AJ Auxerre,Y,AJ Auxerre
A. J. Auxerre,Kids Spain,es,What is your favourite sports team?,HOBB011,A. J. Auxerre,Y,AJ Auxerre
A. J. Auxerre,NextGen France,fr,What is your favourite sports team?,HOBB011,A. J. Auxerre,Y,AJ Auxerre
A. J. Auxerre,NextGen Spain,es,What is your favourite sports team?,HOBB011,A. JJ. Auxerre,Y,AJ Auxerre
Ain't have,Kids US,es-MX,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Ajaksk,NextGen France,fr,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Ájame,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Akanji,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Akdnd,NextGen Germany,de,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Akmqnq,NextGen Spain,es,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Allianz Stuttgart,NextGen Germany,de,What is your favourite sports team?,HOBB011,Alliance?>,Y,Allianz MTV Stuttgart
Any I don’t care about sports,NextGen US,,What is your favourite sports team?,HOBB011,[REVIEW],Y,None
Argentina Men's National Basketball  team,Kids India,,What is your favourite sports team?,HOBB011,Argentina,Y,Argentina Men's National Basketball  team
