dirty_data	product	alt_lang	question_text	question_code
(yu(-	NextGen France	fr	What is your favourite sports team?	HOBB011
,kjhgf	NextGen US		What is your favourite sports team?	HOBB011
,lmknjb,huil;o	Kids Japan	ja	What is your favourite sports team?	HOBB011
. ogni palet 500 dollar door to door	Kids Italy	it	What is your favourite sports team?	HOBB011
.kn	Kids Germany	de	What is your favourite sports team?	HOBB011
.骑自行车	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
/ Fútbol	NextGen Spain	es	What is your favourite sports team?	HOBB011
;kugktnfyujhgf	NextGen France	fr	What is your favourite sports team?	HOBB011
;nj,jk	NextGen France	fr	What is your favourite sports team?	HOBB011
⁇	Kids Japan	ja	What is your favourite sports team?	HOBB011
? Edmonton oilers hockey	Kids Canada	fr	What is your favourite sports team?	HOBB011
[op[oip[	Kids Germany	de	What is your favourite sports team?	HOBB011
_----------	Kids Poland	pl	What is your favourite sports team?	HOBB011
_(•̀ω•́ 」∠)_	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
´dndnd	NextGen France	fr	What is your favourite sports team?	HOBB011
’wbhs	NextGen France	fr	What is your favourite sports team?	HOBB011
’wg’	NextGen France	fr	What is your favourite sports team?	HOBB011
1)Barcelona (soccer)	NextGen US		What is your favourite sports team?	HOBB011
1.FC Lokomotive Leipzig	NextGen Germany	de	What is your favourite sports team?	HOBB011
1ozpzp	NextGen France	fr	What is your favourite sports team?	HOBB011
25LING	Kids Australia		What is your favourite sports team?	HOBB011
25red	Kids Australia		What is your favourite sports team?	HOBB011
26251	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
2E12E	Kids Italy	it	What is your favourite sports team?	HOBB011
2tv3zntiö	NextGen Germany	de	What is your favourite sports team?	HOBB011
2月	Kids Japan	ja	What is your favourite sports team?	HOBB011
3543	Kids Turkey	tr	What is your favourite sports team?	HOBB011
3dhhdd	NextGen Italy	it	What is your favourite sports team?	HOBB011
3eff	NextGen Spain	es	What is your favourite sports team?	HOBB011
3rvc	NextGen Italy	it	What is your favourite sports team?	HOBB011
3y3	NextGen Spain	es	What is your favourite sports team?	HOBB011
4123123d	Kids Poland	pl	What is your favourite sports team?	HOBB011
43ewre3fte4w3tf	NextGen Germany	de	What is your favourite sports team?	HOBB011
43trfe4rtfge45rt	NextGen Germany	de	What is your favourite sports team?	HOBB011
49ers and the brancos	NextGen US		What is your favourite sports team?	HOBB011
49ers cavs	NextGen US		What is your favourite sports team?	HOBB011
4awrgeq4tw	NextGen Spain	es	What is your favourite sports team?	HOBB011
4gyg	NextGen Italy	it	What is your favourite sports team?	HOBB011
4HUNNID	Kids Canada	fr	What is your favourite sports team?	HOBB011
4HUNNID	NextGen US		What is your favourite sports team?	HOBB011
4Players	NextGen France	fr	What is your favourite sports team?	HOBB011
54retrhzgr56tzh	NextGen Germany	de	What is your favourite sports team?	HOBB011
5e4rtge5r4tge54r	NextGen Germany	de	What is your favourite sports team?	HOBB011
5y67s54y	NextGen Spain	es	What is your favourite sports team?	HOBB011
63heh	NextGen Germany	de	What is your favourite sports team?	HOBB011
66uu6	Kids Poland	pl	What is your favourite sports team?	HOBB011
6fx7r	NextGen Germany	de	What is your favourite sports team?	HOBB011
6gczbiibbk	NextGen Germany	de	What is your favourite sports team?	HOBB011
6janwbahua	NextGen France	fr	What is your favourite sports team?	HOBB011
788	Kids Philippines	fil	What is your favourite sports team?	HOBB011
7l	Kids Turkey	tr	What is your favourite sports team?	HOBB011
87i6ruet4re	NextGen US		What is your favourite sports team?	HOBB011
8e	NextGen France	fr	What is your favourite sports team?	HOBB011
9sisud	Kids India		What is your favourite sports team?	HOBB011
A cheerleading team	NextGen Germany	de	What is your favourite sports team?	HOBB011
a fsda f	Kids Australia		What is your favourite sports team?	HOBB011
A Leave	Kids Australia		What is your favourite sports team?	HOBB011
A nostrud nisi quae	Kids Australia		What is your favourite sports team?	HOBB011
A. J. Auxerre	Kids India		What is your favourite sports team?	HOBB011
A. J. Auxerre	Kids Spain	es	What is your favourite sports team?	HOBB011
A. J. Auxerre	NextGen France	fr	What is your favourite sports team?	HOBB011
A. J. Auxerre	NextGen Spain	es	What is your favourite sports team?	HOBB011
A.c Fiorentina	Kids Italy	it	What is your favourite sports team?	HOBB011
A.S. Livorno Calcio	NextGen France	fr	What is your favourite sports team?	HOBB011
A.S. Livorno Calcio	NextGen Germany	de	What is your favourite sports team?	HOBB011
Abu Dhabi Cycling Club	Kids Philippines	fil	What is your favourite sports team?	HOBB011
AC Chievo Verona	Kids Australia		What is your favourite sports team?	HOBB011
AC Chievo Verona	Kids Italy	it	What is your favourite sports team?	HOBB011
AC Chievo Verona	NextGen Italy	it	What is your favourite sports team?	HOBB011
AC Chievo Verona	NextGen UK		What is your favourite sports team?	HOBB011
AC Milan (football)Football.	NextGen UK		What is your favourite sports team?	HOBB011
AC Monza	Kids Australia		What is your favourite sports team?	HOBB011
AC Monza	NextGen Italy	it	What is your favourite sports team?	HOBB011
AC Perugia Calcio	Kids Italy	it	What is your favourite sports team?	HOBB011
AC Perugia Calcio	NextGen France	fr	What is your favourite sports team?	HOBB011
AC Perugia Calcio	NextGen Italy	it	What is your favourite sports team?	HOBB011
AC Pisa	Kids Italy	it	What is your favourite sports team?	HOBB011
AC Pisa	Kids Turkey	tr	What is your favourite sports team?	HOBB011
AC Pisa	NextGen Italy	it	What is your favourite sports team?	HOBB011
ACBB	NextGen France	fr	What is your favourite sports team?	HOBB011
acch	Kids US	es-MX	What is your favourite sports team?	HOBB011
Accrington Stanley FC	Kids India		What is your favourite sports team?	HOBB011
Accrington Stanley FC	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
Accrington Stanley FC	NextGen UK		What is your favourite sports team?	HOBB011
Ach tanzing	Kids Germany	de	What is your favourite sports team?	HOBB011
Acr Messina	NextGen Italy	it	What is your favourite sports team?	HOBB011
Actually don’t have a preference on sports I just root for whoever the people around me are rooting for	NextGen US		What is your favourite sports team?	HOBB011
Adam Kszczot i RKS Łódź	Kids Poland	pl	What is your favourite sports team?	HOBB011
Adamson Soaring Falcons	Kids Indonesia	id	What is your favourite sports team?	HOBB011
Adamson Soaring Falcons	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Adamson Soaring Falcons	NextGen France	fr	What is your favourite sports team?	HOBB011
Adamson Soaring Falcons	NextGen Germany	de	What is your favourite sports team?	HOBB011
Adamson Soaring Falcons	NextGen UK		What is your favourite sports team?	HOBB011
Adamson Soaring Falcons	NextGen US		What is your favourite sports team?	HOBB011
Adamson volleyball women	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Adelaide Cr	Kids Australia		What is your favourite sports team?	HOBB011
Adelaide United FCq	Kids UK		What is your favourite sports team?	HOBB011
Adiada	Kids Germany	de	What is your favourite sports team?	HOBB011
adkeuwuh yuo.	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
aDSFDGFHGTYHUJ	NextGen Spain	es	What is your favourite sports team?	HOBB011
adwdaw	NextGen Spain	es	What is your favourite sports team?	HOBB011
AEK ATHENS	Kids Germany	de	What is your favourite sports team?	HOBB011
AFA Sports	NextGen Germany	de	What is your favourite sports team?	HOBB011
AFA Sports	NextGen Italy	it	What is your favourite sports team?	HOBB011
afafaafwfwa	NextGen Spain	es	What is your favourite sports team?	HOBB011
AFC Şampiyonlar Ligi	Kids Turkey	tr	What is your favourite sports team?	HOBB011
AFC U-23 Asian Cup	Kids India		What is your favourite sports team?	HOBB011
AFC U-23 Asian Cup	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
afdg	NextGen Germany	de	What is your favourite sports team?	HOBB011
afgarg	NextGen Spain	es	What is your favourite sports team?	HOBB011
Afghanistan Cricket Team	Kids Canada	fr	What is your favourite sports team?	HOBB011
AFL (Australian Rules Football)	Kids Australia		What is your favourite sports team?	HOBB011
afl-geelong cats	Kids Australia		What is your favourite sports team?	HOBB011
afsgd	Kids Australia		What is your favourite sports team?	HOBB011
AG2R cycling team	Kids US	es-MX	What is your favourite sports team?	HOBB011
AG2R雪铁龙车队	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
Agc	Kids France	fr	What is your favourite sports team?	HOBB011
Aguilas cibaeña	Kids Canada	fr	What is your favourite sports team?	HOBB011
Aguilas del America fc	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
Ahahss	NextGen Italy	it	What is your favourite sports team?	HOBB011
Ain't have	Kids US	es-MX	What is your favourite sports team?	HOBB011
Ajaksk	NextGen France	fr	What is your favourite sports team?	HOBB011
Ájame	NextGen Spain	es	What is your favourite sports team?	HOBB011
Akanji	NextGen Spain	es	What is your favourite sports team?	HOBB011
Akdnd	NextGen Germany	de	What is your favourite sports team?	HOBB011
Akmqnq	NextGen Spain	es	What is your favourite sports team?	HOBB011
Al Ahly SC	Kids Germany	de	What is your favourite sports team?	HOBB011
Al Ahly SC	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
Al Ahly SC	NextGen Germany	de	What is your favourite sports team?	HOBB011
Al Hilal SFC(نادي الهلال)ا	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
al nassar soccer team	Kids Indonesia	id	What is your favourite sports team?	HOBB011
Al Sadd SC	Kids India		What is your favourite sports team?	HOBB011
Al shabab	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
Alabama and Green Bay packers	NextGen US		What is your favourite sports team?	HOBB011
Alabama Detroit Lions Minnesota Timberwolves	NextGen US		What is your favourite sports team?	HOBB011
Alabama Elephants	NextGen US		What is your favourite sports team?	HOBB011
Alalhli	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
Alas Pilipinas (Volleyball)	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Alavws	NextGen Spain	es	What is your favourite sports team?	HOBB011
Albirex Niigata	Kids Germany	de	What is your favourite sports team?	HOBB011
Albirex Niigata	Kids South Korea	ko	What is your favourite sports team?	HOBB011
alcgerie	NextGen France	fr	What is your favourite sports team?	HOBB011
Alfie Cox	Kids South Africa		What is your favourite sports team?	HOBB011
Al-Hilal Club	Kids Poland	pl	What is your favourite sports team?	HOBB011
Al-Hilal Club	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
Al-Hilal Club	Kids US	es-MX	What is your favourite sports team?	HOBB011
Al-Hilal Club	NextGen Germany	de	What is your favourite sports team?	HOBB011
Aliquid obcaecati ni	Kids Australia		What is your favourite sports team?	HOBB011
Al-Ittihad FC	NextGen Italy	it	What is your favourite sports team?	HOBB011
Aliv	NextGen Germany	de	What is your favourite sports team?	HOBB011
All Philadelphia Teams	NextGen US		What is your favourite sports team?	HOBB011
Alle in nba	NextGen Germany	de	What is your favourite sports team?	HOBB011
Allianz Stuttgart	NextGen Germany	de	What is your favourite sports team?	HOBB011
Alpesîe de quenins	NextGen France	fr	What is your favourite sports team?	HOBB011
Alpha Aussies	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Alpine/renault sport	NextGen France	fr	What is your favourite sports team?	HOBB011
Altay S.K.	Kids Turkey	tr	What is your favourite sports team?	HOBB011
Althetes	NextGen UK		What is your favourite sports team?	HOBB011
Altletico de madrid	NextGen Spain	es	What is your favourite sports team?	HOBB011
Alvark Tokyo	NextGen UK		What is your favourite sports team?	HOBB011
Amabhokoboko	Kids South Africa		What is your favourite sports team?	HOBB011
Amabokbok	Kids South Africa		What is your favourite sports team?	HOBB011
AmaZulu F.C.	Kids Germany	de	What is your favourite sports team?	HOBB011
AmaZulu F.C.	Kids South Africa		What is your favourite sports team?	HOBB011
AmaZulu F.C.	Kids US	es-MX	What is your favourite sports team?	HOBB011
AmaZulu F.C.	NextGen Germany	de	What is your favourite sports team?	HOBB011
America Club www	Kids Poland	pl	What is your favourite sports team?	HOBB011
America Football Club MG	Kids Canada	fr	What is your favourite sports team?	HOBB011
America Football Club MG	Kids India		What is your favourite sports team?	HOBB011
America Football Club MG	Kids Mexico	es-MX	What is your favourite sports team?	HOBB011
America Football Club MG	Kids Philippines	fil	What is your favourite sports team?	HOBB011
America Football Club MG	Kids UK		What is your favourite sports team?	HOBB011
America Football Club MG	Kids US	es-MX	What is your favourite sports team?	HOBB011
America Football Club MG	NextGen UK		What is your favourite sports team?	HOBB011
America Football Club MG	NextGen US		What is your favourite sports team?	HOBB011
América Futebol Clube Minas Gerais	Kids Brazil	pt-BR	What is your favourite sports team?	HOBB011
América Futebol Clube Minas Gerais	Kids Germany	de	What is your favourite sports team?	HOBB011
América Futebol Clube Minas Gerais	Kids Saudi Arabia	ar	What is your favourite sports team?	HOBB011
América Futebol Clube Minas Gerais	Kids Turkey	tr	What is your favourite sports team?	HOBB011
América Futebol Clube Minas Gerais	NextGen Spain	es	What is your favourite sports team?	HOBB011
America natal	Kids Brazil	pt-BR	What is your favourite sports team?	HOBB011
American Olympic Team	NextGen US		What is your favourite sports team?	HOBB011
Amet beatae odio fa	Kids Australia		What is your favourite sports team?	HOBB011
Amics Castelló	NextGen Spain	es	What is your favourite sports team?	HOBB011
amine	Kids China	zh-Hans	What is your favourite sports team?	HOBB011
Anadolu Efes S.K.	Kids Turkey	tr	What is your favourite sports team?	HOBB011
Ankas	NextGen Germany	de	What is your favourite sports team?	HOBB011
Anthony Sinisuka Ginting	NextGen Italy	it	What is your favourite sports team?	HOBB011
Anuel AA	Kids Philippines	fil	What is your favourite sports team?	HOBB011
Any I don’t care about sports	NextGen US		What is your favourite sports team?	HOBB011
Anyang Halla	Kids South Korea	ko	What is your favourite sports team?	HOBB011
Anyang KGC	NextGen France	fr	What is your favourite sports team?	HOBB011
